year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_hes_total_fte
2010,NUTS,2010,DEG0,2,3007.0
2011,NUTS,2010,DEG0,2,3053.0
2012,NUTS,2010,DEG0,2,3222.0
2013,NUTS,2010,DEG0,2,3253.0
2014,NUTS,2010,DEG0,2,3183.0
2015,NUTS,2010,DEG0,2,3065.0
2016,NUTS,2010,DEG0,2,3084.0
2017,NUTS,2010,DEG0,2,3094.0
2018,NUTS,2010,DEG0,2,3109.0
2019,NUTS,2010,DEG0,2,3214.0
1991,NUTS,2010,DEZ,1,26220.0
1995,NUTS,2010,DEZ,1,10240.0
1996,NUTS,2010,DEZ,1,10561.0
1997,NUTS,2010,DEZ,1,10352.0
1998,NUTS,2010,DEZ,1,9874.0
1999,NUTS,2010,DEZ,1,11137.0
2000,NUTS,2010,DEZ,1,11062.0
2003,NUTS,2010,DEZ,1,8053.0
2004,NUTS,2010,DEZ,1,8116.0
2005,NUTS,2010,DEZ,1,7844.0
2006,NUTS,2010,DEZ,1,7690.0
2007,NUTS,2010,DEZ,1,8798.0
2008,NUTS,2010,DEZ,1,8717.0
2009,NUTS,2010,DEZ,1,10144.0
2010,NUTS,2010,DEZ,1,10704.0
2011,NUTS,2010,DEZ,1,10784.0
2012,NUTS,2010,DEZ,1,10911.0
2013,NUTS,2010,DEZ,1,10589.0
2014,NUTS,2010,DEZ,1,10087.0
2015,NUTS,2010,DEZ,1,12118.0
2016,NUTS,2010,DEZ,1,11497.0
2017,NUTS,2010,DEZ,1,11074.0
2018,NUTS,2010,DEZ,1,11266.0
2019,NUTS,2010,DEZ,1,9703.0
1991,NUTS,2010,DEZZ,2,26220.0
1995,NUTS,2010,DEZZ,2,10240.0
1996,NUTS,2010,DEZZ,2,10561.0
1997,NUTS,2010,DEZZ,2,10352.0
1998,NUTS,2010,DEZZ,2,9874.0
1999,NUTS,2010,DEZZ,2,11137.0
2000,NUTS,2010,DEZZ,2,11062.0
2003,NUTS,2010,DEZZ,2,8053.0
2004,NUTS,2010,DEZZ,2,8116.0
2005,NUTS,2010,DEZZ,2,7844.0
2006,NUTS,2010,DEZZ,2,7690.0
2007,NUTS,2010,DEZZ,2,8798.0
2008,NUTS,2010,DEZZ,2,8717.0
2009,NUTS,2010,DEZZ,2,10144.0
2010,NUTS,2010,DEZZ,2,10704.0
2011,NUTS,2010,DEZZ,2,10784.0
2012,NUTS,2010,DEZZ,2,10911.0
2013,NUTS,2010,DEZZ,2,10589.0
2014,NUTS,2010,DEZZ,2,10087.0
2015,NUTS,2010,DEZZ,2,12118.0
2016,NUTS,2010,DEZZ,2,11497.0
2017,NUTS,2010,DEZZ,2,11074.0
2018,NUTS,2010,DEZZ,2,11266.0
2019,NUTS,2010,DEZZ,2,9703.0
1981,NUTS,2010,DK,0,4001.0
1982,NUTS,2010,DK,0,4116.0
1983,NUTS,2010,DK,0,4274.0
1984,NUTS,2010,DK,0,4434.0
1985,NUTS,2010,DK,0,4592.0
1986,NUTS,2010,DK,0,4818.0
1987,NUTS,2010,DK,0,5045.0
1988,NUTS,2010,DK,0,5355.0
1989,NUTS,2010,DK,0,5666.0
1990,NUTS,2010,DK,0,5731.0
1991,NUTS,2010,DK,0,5796.0
1992,NUTS,2010,DK,0,6006.0
1993,NUTS,2010,DK,0,6216.0
1995,NUTS,2010,DK,0,7213.0
1996,NUTS,2010,DK,0,7676.0
1997,NUTS,2010,DK,0,8138.0
1998,NUTS,2010,DK,0,7693.0
1999,NUTS,2010,DK,0,8017.0
2000,NUTS,2010,DK,0,7958.0
2001,NUTS,2010,DK,0,8272.0
2002,NUTS,2010,DK,0,10310.0
2003,NUTS,2010,DK,0,10697.0
2004,NUTS,2010,DK,0,11139.0
2005,NUTS,2010,DK,0,11561.0
2006,NUTS,2010,DK,0,12080.0
2007,NUTS,2010,DK,0,13742.0
2008,NUTS,2010,DK,0,15723.0
2009,NUTS,2010,DK,0,16819.0
2010,NUTS,2010,DK,0,18444.0
2011,NUTS,2010,DK,0,18916.0
2012,NUTS,2010,DK,0,19991.0
2013,NUTS,2010,DK,0,20925.0
2014,NUTS,2010,DK,0,20956.0
2015,NUTS,2010,DK,0,21258.0
2016,NUTS,2010,DK,0,21959.0
2017,NUTS,2010,DK,0,21751.0
2018,NUTS,2010,DK,0,21891.0
2019,NUTS,2010,DK,0,22185.0
2020,NUTS,2010,DK,0,22307.0
1981,NUTS,2010,DK0,1,4001.0
1982,NUTS,2010,DK0,1,4116.0
1983,NUTS,2010,DK0,1,4274.0
1984,NUTS,2010,DK0,1,4434.0
1985,NUTS,2010,DK0,1,4592.0
1986,NUTS,2010,DK0,1,4818.0
1987,NUTS,2010,DK0,1,5045.0
1988,NUTS,2010,DK0,1,5355.0
1989,NUTS,2010,DK0,1,5666.0
1990,NUTS,2010,DK0,1,5731.0
1991,NUTS,2010,DK0,1,5796.0
1992,NUTS,2010,DK0,1,6006.0
1993,NUTS,2010,DK0,1,6216.0
1995,NUTS,2010,DK0,1,7213.0
1996,NUTS,2010,DK0,1,7676.0
1997,NUTS,2010,DK0,1,8138.0
1998,NUTS,2010,DK0,1,7693.0
1999,NUTS,2010,DK0,1,8017.0
2000,NUTS,2010,DK0,1,7958.0
2001,NUTS,2010,DK0,1,8185.0
2002,NUTS,2010,DK0,1,10310.0
2003,NUTS,2010,DK0,1,10697.0
2004,NUTS,2010,DK0,1,11204.0
2007,NUTS,2010,DK0,1,13742.0
2009,NUTS,2010,DK0,1,17104.0
2010,NUTS,2010,DK0,1,18444.0
2011,NUTS,2010,DK0,1,19123.0
2012,NUTS,2010,DK0,1,19992.0
2013,NUTS,2010,DK0,1,20925.0
2014,NUTS,2010,DK0,1,20956.0
2015,NUTS,2010,DK0,1,21258.0
2016,NUTS,2010,DK0,1,21959.0
2017,NUTS,2010,DK0,1,21751.0
2018,NUTS,2010,DK0,1,21891.0
2019,NUTS,2010,DK0,1,22185.0
2007,NUTS,2010,DK01,2,7139.0
2009,NUTS,2010,DK01,2,9219.0
2010,NUTS,2010,DK01,2,10286.0
2011,NUTS,2010,DK01,2,10539.0
2012,NUTS,2010,DK01,2,10964.0
2013,NUTS,2010,DK01,2,11606.0
2014,NUTS,2010,DK01,2,12124.0
2015,NUTS,2010,DK01,2,12005.0
2016,NUTS,2010,DK01,2,12802.0
2017,NUTS,2010,DK01,2,12803.0
2019,NUTS,2010,DK01,2,12818.0
2007,NUTS,2010,DK02,2,1164.0
2009,NUTS,2010,DK02,2,1268.0
2010,NUTS,2010,DK02,2,1279.0
2011,NUTS,2010,DK02,2,1223.0
2012,NUTS,2010,DK02,2,998.0
2013,NUTS,2010,DK02,2,1011.0
2014,NUTS,2010,DK02,2,1092.0
2015,NUTS,2010,DK02,2,1099.0
2016,NUTS,2010,DK02,2,1266.0
2017,NUTS,2010,DK02,2,1225.0
2019,NUTS,2010,DK02,2,1186.0
2007,NUTS,2010,DK03,2,1034.0
2009,NUTS,2010,DK03,2,1618.0
2010,NUTS,2010,DK03,2,1663.0
2011,NUTS,2010,DK03,2,1737.0
2012,NUTS,2010,DK03,2,1804.0
2013,NUTS,2010,DK03,2,1883.0
2014,NUTS,2010,DK03,2,1965.0
2015,NUTS,2010,DK03,2,2119.0
2016,NUTS,2010,DK03,2,2047.0
2017,NUTS,2010,DK03,2,1736.0
2019,NUTS,2010,DK03,2,1812.0
2007,NUTS,2010,DK04,2,3058.0
2009,NUTS,2010,DK04,2,3782.0
2010,NUTS,2010,DK04,2,3939.0
2011,NUTS,2010,DK04,2,4162.0
2012,NUTS,2010,DK04,2,4740.0
2013,NUTS,2010,DK04,2,4620.0
2014,NUTS,2010,DK04,2,4033.0
2015,NUTS,2010,DK04,2,4346.0
2016,NUTS,2010,DK04,2,4168.0
2017,NUTS,2010,DK04,2,3910.0
2019,NUTS,2010,DK04,2,4112.0
2007,NUTS,2010,DK05,2,1342.0
2009,NUTS,2010,DK05,2,1216.0
2010,NUTS,2010,DK05,2,1276.0
2011,NUTS,2010,DK05,2,1462.0
2012,NUTS,2010,DK05,2,1507.0
2013,NUTS,2010,DK05,2,1806.0
2014,NUTS,2010,DK05,2,1742.0
2015,NUTS,2010,DK05,2,1689.0
2016,NUTS,2010,DK05,2,1675.0
2017,NUTS,2010,DK05,2,2076.0
2019,NUTS,2010,DK05,2,2256.0
2007,NUTS,2010,DKZ,1,4.0
2007,NUTS,2010,DKZZ,2,0.0
2000,NUTS,2010,EA19,2,413310.0
2001,NUTS,2010,EA19,2,426194.0
2002,NUTS,2010,EA19,2,434166.0
2003,NUTS,2010,EA19,2,441143.0
2004,NUTS,2010,EA19,2,450510.0
2005,NUTS,2010,EA19,2,463297.0
2006,NUTS,2010,EA19,2,479762.0
2007,NUTS,2010,EA19,2,499148.0
2008,NUTS,2010,EA19,2,526094.0
2009,NUTS,2010,EA19,2,543580.0
2010,NUTS,2010,EA19,2,555393.0
2011,NUTS,2010,EA19,2,553519.0
2012,NUTS,2010,EA19,2,563538.0
2013,NUTS,2010,EA19,2,572230.0
2014,NUTS,2010,EA19,2,575613.0
2015,NUTS,2010,EA19,2,587587.0
2016,NUTS,2010,EA19,2,596275.0
2017,NUTS,2010,EA19,2,607177.0
2018,NUTS,2010,EA19,2,616783.0
2019,NUTS,2010,EA19,2,629130.0
2020,NUTS,2010,EA19,2,641589.0
1995,NUTS,2010,EE,0,2217.0
1996,NUTS,2010,EE,0,2209.0
1997,NUTS,2010,EE,0,3043.0
1998,NUTS,2010,EE,0,3077.0
1999,NUTS,2010,EE,0,2907.0
2000,NUTS,2010,EE,0,2305.0
2001,NUTS,2010,EE,0,2319.0
2002,NUTS,2010,EE,0,2565.0
2003,NUTS,2010,EE,0,2454.0
2004,NUTS,2010,EE,0,2752.0
2005,NUTS,2010,EE,0,2176.0
2006,NUTS,2010,EE,0,2290.0
2007,NUTS,2010,EE,0,2406.0
2008,NUTS,2010,EE,0,2389.0
2009,NUTS,2010,EE,0,2688.0
2010,NUTS,2010,EE,0,2465.0
2011,NUTS,2010,EE,0,2735.0
2012,NUTS,2010,EE,0,3000.0
2013,NUTS,2010,EE,0,2850.0
2014,NUTS,2010,EE,0,3103.0
2015,NUTS,2010,EE,0,3062.0
2016,NUTS,2010,EE,0,2969.0
2017,NUTS,2010,EE,0,3015.0
2018,NUTS,2010,EE,0,3233.0
2019,NUTS,2010,EE,0,2957.0
2020,NUTS,2010,EE,0,2856.0
1983,NUTS,2010,EL,0,1185.0
1987,NUTS,2010,EL,0,1511.0
1989,NUTS,2010,EL,0,3066.0
1991,NUTS,2010,EL,0,4320.0
1993,NUTS,2010,EL,0,6767.0
1995,NUTS,2010,EL,0,9415.0
1997,NUTS,2010,EL,0,12294.0
1999,NUTS,2010,EL,0,17294.0
2001,NUTS,2010,EL,0,14241.0
2003,NUTS,2010,EL,0,14947.0
2005,NUTS,2010,EL,0,17401.0
2006,NUTS,2010,EL,0,18952.0
2007,NUTS,2010,EL,0,19172.0
2011,NUTS,2010,EL,0,20640.0
2012,NUTS,2010,EL,0,20508.0
2013,NUTS,2010,EL,0,23390.0
2014,NUTS,2010,EL,0,23924.0
2015,NUTS,2010,EL,0,27383.0
2016,NUTS,2010,EL,0,20404.0
2017,NUTS,2010,EL,0,21986.0
2018,NUTS,2010,EL,0,23431.0
2019,NUTS,2010,EL,0,25240.0
2020,NUTS,2010,EL,0,26669.0
1989,NUTS,2010,EL3,1,1447.0
1991,NUTS,2010,EL3,1,1846.0
1993,NUTS,2010,EL3,1,2823.0
1995,NUTS,2010,EL3,1,4264.0
1997,NUTS,2010,EL3,1,4331.0
1999,NUTS,2010,EL3,1,5851.0
2001,NUTS,2010,EL3,1,5392.0
2003,NUTS,2010,EL3,1,6015.0
2005,NUTS,2010,EL3,1,7340.0
2011,NUTS,2010,EL3,1,7478.0
2013,NUTS,2010,EL3,1,9364.0
2015,NUTS,2010,EL3,1,11696.0
2017,NUTS,2010,EL3,1,8061.0
2019,NUTS,2010,EL3,1,9461.0
1989,NUTS,2010,EL30,2,1447.0
1991,NUTS,2010,EL30,2,1846.0
1993,NUTS,2010,EL30,2,2823.0
1995,NUTS,2010,EL30,2,4264.0
1997,NUTS,2010,EL30,2,4331.0
1999,NUTS,2010,EL30,2,5851.0
2001,NUTS,2010,EL30,2,5392.0
2003,NUTS,2010,EL30,2,6015.0
2005,NUTS,2010,EL30,2,7340.0
2011,NUTS,2010,EL30,2,7478.0
2013,NUTS,2010,EL30,2,9364.0
2015,NUTS,2010,EL30,2,11696.0
2017,NUTS,2010,EL30,2,8061.0
2019,NUTS,2010,EL30,2,9461.0
1989,NUTS,2010,EL4,1,215.0
1991,NUTS,2010,EL4,1,284.0
1993,NUTS,2010,EL4,1,448.0
1995,NUTS,2010,EL4,1,640.0
1997,NUTS,2010,EL4,1,1216.0
1999,NUTS,2010,EL4,1,679.0
2001,NUTS,2010,EL4,1,880.0
2003,NUTS,2010,EL4,1,1445.0
2005,NUTS,2010,EL4,1,1495.0
2011,NUTS,2010,EL4,1,3200.0
2013,NUTS,2010,EL4,1,2911.0
2015,NUTS,2010,EL4,1,2678.0
2017,NUTS,2010,EL4,1,2126.0
2019,NUTS,2010,EL4,1,2410.0
1989,NUTS,2010,EL41,2,11.0
1991,NUTS,2010,EL41,2,30.0
1993,NUTS,2010,EL41,2,68.0
1995,NUTS,2010,EL41,2,79.0
1997,NUTS,2010,EL41,2,408.0
1999,NUTS,2010,EL41,2,123.0
2001,NUTS,2010,EL41,2,137.0
2003,NUTS,2010,EL41,2,239.0
2005,NUTS,2010,EL41,2,256.0
2011,NUTS,2010,EL41,2,664.0
2013,NUTS,2010,EL41,2,517.0
2015,NUTS,2010,EL41,2,453.0
2017,NUTS,2010,EL41,2,404.0
2019,NUTS,2010,EL41,2,395.0
1993,NUTS,2010,EL42,2,17.0
1995,NUTS,2010,EL42,2,52.0
1997,NUTS,2010,EL42,2,68.0
1999,NUTS,2010,EL42,2,33.0
2001,NUTS,2010,EL42,2,57.0
2003,NUTS,2010,EL42,2,105.0
2005,NUTS,2010,EL42,2,127.0
2011,NUTS,2010,EL42,2,307.0
2013,NUTS,2010,EL42,2,258.0
2015,NUTS,2010,EL42,2,224.0
2017,NUTS,2010,EL42,2,215.0
2019,NUTS,2010,EL42,2,149.0
1989,NUTS,2010,EL43,2,204.0
1991,NUTS,2010,EL43,2,254.0
1993,NUTS,2010,EL43,2,363.0
1995,NUTS,2010,EL43,2,509.0
1997,NUTS,2010,EL43,2,739.0
1999,NUTS,2010,EL43,2,523.0
2001,NUTS,2010,EL43,2,686.0
2003,NUTS,2010,EL43,2,1101.0
2005,NUTS,2010,EL43,2,1113.0
2011,NUTS,2010,EL43,2,2229.0
2013,NUTS,2010,EL43,2,2136.0
2015,NUTS,2010,EL43,2,2001.0
2017,NUTS,2010,EL43,2,1507.0
2019,NUTS,2010,EL43,2,1866.0
2011,NUTS,2010,EL5,1,6134.0
2013,NUTS,2010,EL5,1,7495.0
2015,NUTS,2010,EL5,1,8282.0
2017,NUTS,2010,EL5,1,6320.0
2019,NUTS,2010,EL5,1,7278.0
1989,NUTS,2010,EL51,2,80.0
1991,NUTS,2010,EL51,2,163.0
1993,NUTS,2010,EL51,2,317.0
1995,NUTS,2010,EL51,2,442.0
1997,NUTS,2010,EL51,2,546.0
1999,NUTS,2010,EL51,2,694.0
2001,NUTS,2010,EL51,2,643.0
2003,NUTS,2010,EL51,2,574.0
2005,NUTS,2010,EL51,2,863.0
2011,NUTS,2010,EL51,2,1239.0
2013,NUTS,2010,EL51,2,1538.0
2015,NUTS,2010,EL51,2,1378.0
2017,NUTS,2010,EL51,2,1080.0
2019,NUTS,2010,EL51,2,1251.0
1989,NUTS,2010,EL52,2,1063.0
1991,NUTS,2010,EL52,2,1236.0
1993,NUTS,2010,EL52,2,2115.0
1995,NUTS,2010,EL52,2,2521.0
1997,NUTS,2010,EL52,2,3248.0
1999,NUTS,2010,EL52,2,6346.0
2001,NUTS,2010,EL52,2,3511.0
2003,NUTS,2010,EL52,2,3031.0
2005,NUTS,2010,EL52,2,3743.0
2011,NUTS,2010,EL52,2,3811.0
2013,NUTS,2010,EL52,2,4718.0
2015,NUTS,2010,EL52,2,5107.0
2017,NUTS,2010,EL52,2,3881.0
2019,NUTS,2010,EL52,2,4379.0
1995,NUTS,2010,EL53,2,25.0
1997,NUTS,2010,EL53,2,352.0
1999,NUTS,2010,EL53,2,95.0
2001,NUTS,2010,EL53,2,13.0
2003,NUTS,2010,EL53,2,136.0
2005,NUTS,2010,EL53,2,109.0
2011,NUTS,2010,EL53,2,192.0
2013,NUTS,2010,EL53,2,247.0
2015,NUTS,2010,EL53,2,314.0
2017,NUTS,2010,EL53,2,344.0
2019,NUTS,2010,EL53,2,421.0
1989,NUTS,2010,EL54,2,232.0
1991,NUTS,2010,EL54,2,225.0
1993,NUTS,2010,EL54,2,313.0
1995,NUTS,2010,EL54,2,365.0
1997,NUTS,2010,EL54,2,742.0
1999,NUTS,2010,EL54,2,902.0
2001,NUTS,2010,EL54,2,1017.0
2003,NUTS,2010,EL54,2,686.0
2005,NUTS,2010,EL54,2,1011.0
2011,NUTS,2010,EL54,2,893.0
2013,NUTS,2010,EL54,2,992.0
2015,NUTS,2010,EL54,2,1483.0
2017,NUTS,2010,EL54,2,1015.0
2019,NUTS,2010,EL54,2,1226.0
2011,NUTS,2010,EL6,1,3828.0
2013,NUTS,2010,EL6,1,3620.0
2015,NUTS,2010,EL6,1,4727.0
2017,NUTS,2010,EL6,1,5478.0
2019,NUTS,2010,EL6,1,6092.0
1991,NUTS,2010,EL61,2,29.0
1993,NUTS,2010,EL61,2,39.0
1995,NUTS,2010,EL61,2,135.0
1997,NUTS,2010,EL61,2,201.0
1999,NUTS,2010,EL61,2,506.0
2001,NUTS,2010,EL61,2,495.0
2003,NUTS,2010,EL61,2,988.0
2005,NUTS,2010,EL61,2,718.0
2011,NUTS,2010,EL61,2,1815.0
2013,NUTS,2010,EL61,2,1298.0
2015,NUTS,2010,EL61,2,1437.0
2017,NUTS,2010,EL61,2,1467.0
2019,NUTS,2010,EL61,2,1964.0
1989,NUTS,2010,EL62,2,8.0
1991,NUTS,2010,EL62,2,42.0
1993,NUTS,2010,EL62,2,21.0
1995,NUTS,2010,EL62,2,52.0
1997,NUTS,2010,EL62,2,186.0
1999,NUTS,2010,EL62,2,123.0
2001,NUTS,2010,EL62,2,88.0
2003,NUTS,2010,EL62,2,103.0
2005,NUTS,2010,EL62,2,142.0
2011,NUTS,2010,EL62,2,80.0
2013,NUTS,2010,EL62,2,224.0
2015,NUTS,2010,EL62,2,644.0
2017,NUTS,2010,EL62,2,622.0
2019,NUTS,2010,EL62,2,556.0
1989,NUTS,2010,EL63,2,235.0
1991,NUTS,2010,EL63,2,345.0
1993,NUTS,2010,EL63,2,691.0
1995,NUTS,2010,EL63,2,917.0
1997,NUTS,2010,EL63,2,1346.0
1999,NUTS,2010,EL63,2,2096.0
2001,NUTS,2010,EL63,2,2196.0
2003,NUTS,2010,EL63,2,1950.0
2005,NUTS,2010,EL63,2,1412.0
2011,NUTS,2010,EL63,2,1587.0
2013,NUTS,2010,EL63,2,1441.0
2015,NUTS,2010,EL63,2,1841.0
2017,NUTS,2010,EL63,2,2892.0
2019,NUTS,2010,EL63,2,2921.0
1995,NUTS,2010,EL64,2,53.0
1997,NUTS,2010,EL64,2,42.0
1999,NUTS,2010,EL64,2,2.0
2001,NUTS,2010,EL64,2,6.0
2003,NUTS,2010,EL64,2,1.0
2005,NUTS,2010,EL64,2,48.0
2011,NUTS,2010,EL64,2,104.0
2013,NUTS,2010,EL64,2,265.0
2015,NUTS,2010,EL64,2,286.0
2017,NUTS,2010,EL64,2,179.0
2019,NUTS,2010,EL64,2,226.0
1995,NUTS,2010,EL65,2,3.0
1997,NUTS,2010,EL65,2,100.0
2001,NUTS,2010,EL65,2,0.0
2003,NUTS,2010,EL65,2,17.0
2005,NUTS,2010,EL65,2,520.0
2011,NUTS,2010,EL65,2,243.0
2013,NUTS,2010,EL65,2,392.0
2015,NUTS,2010,EL65,2,519.0
2017,NUTS,2010,EL65,2,318.0
2019,NUTS,2010,EL65,2,425.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
1980,NUTS,2010,ES,0,11793.0
1981,NUTS,2010,ES,0,12410.0
1982,NUTS,2010,ES,0,12022.0
1983,NUTS,2010,ES,0,13053.0
1984,NUTS,2010,ES,0,13570.0
1985,NUTS,2010,ES,0,13764.0
1986,NUTS,2010,ES,0,14305.0
1987,NUTS,2010,ES,0,15100.0
1988,NUTS,2010,ES,0,21985.0
1989,NUTS,2010,ES,0,22500.0
1990,NUTS,2010,ES,0,23654.0
1991,NUTS,2010,ES,0,25360.0
1992,NUTS,2010,ES,0,27553.0
1993,NUTS,2010,ES,0,29839.0
1994,NUTS,2010,ES,0,34642.0
1995,NUTS,2010,ES,0,34330.0
1996,NUTS,2010,ES,0,38955.0
1997,NUTS,2010,ES,0,36843.0
1998,NUTS,2010,ES,0,41040.0
1999,NUTS,2010,ES,0,40626.0
2000,NUTS,2010,ES,0,49470.0
2001,NUTS,2010,ES,0,54623.0
2002,NUTS,2010,ES,0,54233.0
2003,NUTS,2010,ES,0,60307.0
2004,NUTS,2010,ES,0,63331.0
2005,NUTS,2010,ES,0,66996.0
2006,NUTS,2010,ES,0,70950.0
2007,NUTS,2010,ES,0,75148.0
2008,NUTS,2010,ES,0,78846.0
2009,NUTS,2010,ES,0,81203.0
2010,NUTS,2010,ES,0,83300.0
2011,NUTS,2010,ES,0,80900.0
2012,NUTS,2010,ES,0,77238.0
2013,NUTS,2010,ES,0,74923.0
2014,NUTS,2010,ES,0,73428.0
2015,NUTS,2010,ES,0,73327.0
2016,NUTS,2010,ES,0,75191.0
2017,NUTS,2010,ES,0,79286.0
2018,NUTS,2010,ES,0,80318.0
2019,NUTS,2010,ES,0,83048.0
2020,NUTS,2010,ES,0,84325.0
1988,NUTS,2010,ES1,1,1379.0
1989,NUTS,2010,ES1,1,1461.0
1990,NUTS,2010,ES1,1,1580.0
1991,NUTS,2010,ES1,1,1824.0
1992,NUTS,2010,ES1,1,2157.0
1993,NUTS,2010,ES1,1,2199.0
1994,NUTS,2010,ES1,1,2684.0
1995,NUTS,2010,ES1,1,3205.0
1996,NUTS,2010,ES1,1,2993.0
1997,NUTS,2010,ES1,1,4155.0
1998,NUTS,2010,ES1,1,4465.0
1999,NUTS,2010,ES1,1,3950.0
2000,NUTS,2010,ES1,1,5630.0
2001,NUTS,2010,ES1,1,6091.0
2002,NUTS,2010,ES1,1,5684.0
2003,NUTS,2010,ES1,1,5105.0
2004,NUTS,2010,ES1,1,6049.0
2005,NUTS,2010,ES1,1,6292.0
2006,NUTS,2010,ES1,1,5919.0
2007,NUTS,2010,ES1,1,6113.0
2008,NUTS,2010,ES1,1,6959.0
2009,NUTS,2010,ES1,1,7375.0
2010,NUTS,2010,ES1,1,7853.0
2011,NUTS,2010,ES1,1,7431.0
2012,NUTS,2010,ES1,1,
2013,NUTS,2010,ES1,1,6479.0
2014,NUTS,2010,ES1,1,
2015,NUTS,2010,ES1,1,6250.0
2016,NUTS,2010,ES1,1,6214.0
2017,NUTS,2010,ES1,1,6297.0
2018,NUTS,2010,ES1,1,6379.0
2019,NUTS,2010,ES1,1,
1988,NUTS,2010,ES11,2,548.0
1989,NUTS,2010,ES11,2,696.0
1990,NUTS,2010,ES11,2,797.0
1991,NUTS,2010,ES11,2,944.0
1992,NUTS,2010,ES11,2,1299.0
1993,NUTS,2010,ES11,2,1222.0
1994,NUTS,2010,ES11,2,1364.0
1995,NUTS,2010,ES11,2,1733.0
1996,NUTS,2010,ES11,2,1694.0
1997,NUTS,2010,ES11,2,2945.0
1998,NUTS,2010,ES11,2,3008.0
1999,NUTS,2010,ES11,2,2759.0
2000,NUTS,2010,ES11,2,3448.0
2001,NUTS,2010,ES11,2,3834.0
2002,NUTS,2010,ES11,2,3403.0
2003,NUTS,2010,ES11,2,3639.0
2004,NUTS,2010,ES11,2,4452.0
2005,NUTS,2010,ES11,2,4514.0
2006,NUTS,2010,ES11,2,3931.0
2007,NUTS,2010,ES11,2,4071.0
2008,NUTS,2010,ES11,2,4654.0
2009,NUTS,2010,ES11,2,4881.0
2010,NUTS,2010,ES11,2,5337.0
2011,NUTS,2010,ES11,2,5039.0
2012,NUTS,2010,ES11,2,4412.0
2013,NUTS,2010,ES11,2,
2014,NUTS,2010,ES11,2,4227.0
2015,NUTS,2010,ES11,2,4225.0
2016,NUTS,2010,ES11,2,4165.0
2017,NUTS,2010,ES11,2,4132.0
2018,NUTS,2010,ES11,2,4175.0
2019,NUTS,2010,ES11,2,4278.0
1988,NUTS,2010,ES12,2,493.0
1989,NUTS,2010,ES12,2,524.0
1990,NUTS,2010,ES12,2,533.0
1991,NUTS,2010,ES12,2,562.0
1992,NUTS,2010,ES12,2,529.0
1993,NUTS,2010,ES12,2,603.0
1994,NUTS,2010,ES12,2,857.0
1995,NUTS,2010,ES12,2,1007.0
1996,NUTS,2010,ES12,2,573.0
1997,NUTS,2010,ES12,2,819.0
1998,NUTS,2010,ES12,2,819.0
1999,NUTS,2010,ES12,2,836.0
2000,NUTS,2010,ES12,2,1752.0
2001,NUTS,2010,ES12,2,1756.0
2002,NUTS,2010,ES12,2,1956.0
2003,NUTS,2010,ES12,2,1171.0
2004,NUTS,2010,ES12,2,1167.0
2005,NUTS,2010,ES12,2,1372.0
2006,NUTS,2010,ES12,2,1331.0
2007,NUTS,2010,ES12,2,1275.0
2008,NUTS,2010,ES12,2,1493.0
2009,NUTS,2010,ES12,2,1574.0
2010,NUTS,2010,ES12,2,1603.0
2011,NUTS,2010,ES12,2,1486.0
2012,NUTS,2010,ES12,2,1331.0
2013,NUTS,2010,ES12,2,1313.0
2014,NUTS,2010,ES12,2,1177.0
2015,NUTS,2010,ES12,2,1249.0
2016,NUTS,2010,ES12,2,1282.0
2017,NUTS,2010,ES12,2,1444.0
2018,NUTS,2010,ES12,2,1447.0
2019,NUTS,2010,ES12,2,1660.0
1988,NUTS,2010,ES13,2,339.0
1989,NUTS,2010,ES13,2,241.0
1990,NUTS,2010,ES13,2,250.0
1991,NUTS,2010,ES13,2,319.0
1992,NUTS,2010,ES13,2,329.0
1993,NUTS,2010,ES13,2,374.0
1994,NUTS,2010,ES13,2,463.0
1995,NUTS,2010,ES13,2,465.0
1996,NUTS,2010,ES13,2,726.0
1997,NUTS,2010,ES13,2,391.0
1998,NUTS,2010,ES13,2,638.0
1999,NUTS,2010,ES13,2,355.0
2000,NUTS,2010,ES13,2,430.0
2001,NUTS,2010,ES13,2,500.0
2002,NUTS,2010,ES13,2,325.0
2003,NUTS,2010,ES13,2,295.0
2004,NUTS,2010,ES13,2,430.0
2005,NUTS,2010,ES13,2,406.0
2006,NUTS,2010,ES13,2,657.0
2007,NUTS,2010,ES13,2,766.0
2008,NUTS,2010,ES13,2,812.0
2009,NUTS,2010,ES13,2,920.0
2010,NUTS,2010,ES13,2,914.0
2011,NUTS,2010,ES13,2,906.0
2012,NUTS,2010,ES13,2,
2013,NUTS,2010,ES13,2,
2014,NUTS,2010,ES13,2,
2015,NUTS,2010,ES13,2,776.0
2016,NUTS,2010,ES13,2,768.0
2017,NUTS,2010,ES13,2,722.0
2018,NUTS,2010,ES13,2,756.0
2019,NUTS,2010,ES13,2,
1988,NUTS,2010,ES2,1,1702.0
1989,NUTS,2010,ES2,1,1864.0
1990,NUTS,2010,ES2,1,2463.0
1991,NUTS,2010,ES2,1,2651.0
1992,NUTS,2010,ES2,1,2852.0
1993,NUTS,2010,ES2,1,3004.0
1994,NUTS,2010,ES2,1,3383.0
1995,NUTS,2010,ES2,1,3322.0
