year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_hc_rse_total
2016,NUTS,2010,CZ07,2,1208.0
2017,NUTS,2010,CZ07,2,1106.0
2018,NUTS,2010,CZ07,2,1188.0
2019,NUTS,2010,CZ07,2,1498.0
2020,NUTS,2010,CZ07,2,1540.0
2001,NUTS,2010,CZ08,2,596.0
2002,NUTS,2010,CZ08,2,590.0
2003,NUTS,2010,CZ08,2,584.0
2004,NUTS,2010,CZ08,2,620.0
2005,NUTS,2010,CZ08,2,649.0
2006,NUTS,2010,CZ08,2,712.0
2007,NUTS,2010,CZ08,2,925.0
2008,NUTS,2010,CZ08,2,983.0
2009,NUTS,2010,CZ08,2,938.0
2010,NUTS,2010,CZ08,2,824.0
2011,NUTS,2010,CZ08,2,878.0
2012,NUTS,2010,CZ08,2,984.0
2013,NUTS,2010,CZ08,2,1010.0
2014,NUTS,2010,CZ08,2,978.0
2015,NUTS,2010,CZ08,2,1066.0
2016,NUTS,2010,CZ08,2,1100.0
2017,NUTS,2010,CZ08,2,1124.0
2018,NUTS,2010,CZ08,2,1188.0
2019,NUTS,2010,CZ08,2,1228.0
2020,NUTS,2010,CZ08,2,1267.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2003,NUTS,2010,DE,0,77449.0
2005,NUTS,2010,DE,0,86733.0
2007,NUTS,2010,DE,0,101639.0
2009,NUTS,2010,DE,0,121631.0
2011,NUTS,2010,DE,0,139879.0
2013,NUTS,2010,DE,0,153517.0
2015,NUTS,2010,DE,0,164094.0
2017,NUTS,2010,DE,0,173700.0
2019,NUTS,2010,DE,0,187231.0
1999,NUTS,2010,DK,0,7661.0
2001,NUTS,2010,DK,0,8355.0
2002,NUTS,2010,DK,0,9943.0
2003,NUTS,2010,DK,0,10134.0
2005,NUTS,2010,DK,0,12908.0
2007,NUTS,2010,DK,0,12990.0
2009,NUTS,2010,DK,0,17160.0
2010,NUTS,2010,DK,0,17865.0
2011,NUTS,2010,DK,0,18831.0
2012,NUTS,2010,DK,0,20369.0
2013,NUTS,2010,DK,0,19904.0
2015,NUTS,2010,DK,0,20469.0
2017,NUTS,2010,DK,0,21472.0
2019,NUTS,2010,DK,0,21746.0
1999,NUTS,2010,DK0,1,7661.0
2001,NUTS,2010,DK0,1,8355.0
2002,NUTS,2010,DK0,1,9955.0
2003,NUTS,2010,DK0,1,10415.0
2009,NUTS,2010,DK0,1,16743.0
2010,NUTS,2010,DK0,1,10785.0
2011,NUTS,2010,DK0,1,18774.0
2012,NUTS,2010,DK0,1,20370.0
2013,NUTS,2010,DK0,1,20667.0
2015,NUTS,2010,DK0,1,20469.0
2017,NUTS,2010,DK0,1,21472.0
2019,NUTS,2010,DK0,1,21746.0
2009,NUTS,2010,DK01,2,10157.0
2010,NUTS,2010,DK01,2,5911.0
2011,NUTS,2010,DK01,2,11802.0
2013,NUTS,2010,DK01,2,12240.0
2015,NUTS,2010,DK01,2,12238.0
2017,NUTS,2010,DK01,2,13684.0
2019,NUTS,2010,DK01,2,13076.0
2009,NUTS,2010,DK02,2,1283.0
2010,NUTS,2010,DK02,2,725.0
2011,NUTS,2010,DK02,2,984.0
2013,NUTS,2010,DK02,2,1164.0
2015,NUTS,2010,DK02,2,981.0
2017,NUTS,2010,DK02,2,1065.0
2019,NUTS,2010,DK02,2,1164.0
2009,NUTS,2010,DK03,2,1045.0
2010,NUTS,2010,DK03,2,1066.0
2011,NUTS,2010,DK03,2,1903.0
2013,NUTS,2010,DK03,2,2226.0
2015,NUTS,2010,DK03,2,2799.0
2017,NUTS,2010,DK03,2,1618.0
2019,NUTS,2010,DK03,2,1783.0
2009,NUTS,2010,DK04,2,2578.0
2010,NUTS,2010,DK04,2,2271.0
2011,NUTS,2010,DK04,2,3222.0
2013,NUTS,2010,DK04,2,3726.0
2015,NUTS,2010,DK04,2,3302.0
2017,NUTS,2010,DK04,2,3351.0
2019,NUTS,2010,DK04,2,3803.0
2009,NUTS,2010,DK05,2,1685.0
2010,NUTS,2010,DK05,2,812.0
2011,NUTS,2010,DK05,2,863.0
2013,NUTS,2010,DK05,2,1311.0
2015,NUTS,2010,DK05,2,1149.0
2017,NUTS,2010,DK05,2,1753.0
2019,NUTS,2010,DK05,2,1920.0
2003,NUTS,2010,EA19,2,330957.0
2005,NUTS,2010,EA19,2,374264.0
2007,NUTS,2010,EA19,2,431364.0
2009,NUTS,2010,EA19,2,487452.0
2011,NUTS,2010,EA19,2,536844.0
2013,NUTS,2010,EA19,2,578663.0
2015,NUTS,2010,EA19,2,615957.0
2017,NUTS,2010,EA19,2,662808.0
2019,NUTS,2010,EA19,2,722956.0
1998,NUTS,2010,EE,0,1850.0
1999,NUTS,2010,EE,0,1920.0
2000,NUTS,2010,EE,0,1969.0
2001,NUTS,2010,EE,0,2078.0
2002,NUTS,2010,EE,0,2168.0
2003,NUTS,2010,EE,0,2340.0
2004,NUTS,2010,EE,0,2412.0
2005,NUTS,2010,EE,0,2337.0
2006,NUTS,2010,EE,0,2636.0
2007,NUTS,2010,EE,0,3027.0
2008,NUTS,2010,EE,0,3013.0
2009,NUTS,2010,EE,0,3166.0
2010,NUTS,2010,EE,0,3249.0
2011,NUTS,2010,EE,0,3342.0
2012,NUTS,2010,EE,0,3358.0
2013,NUTS,2010,EE,0,3338.0
2014,NUTS,2010,EE,0,3399.0
2015,NUTS,2010,EE,0,3151.0
2016,NUTS,2010,EE,0,2981.0
2017,NUTS,2010,EE,0,3099.0
2018,NUTS,2010,EE,0,3199.0
2019,NUTS,2010,EE,0,3283.0
1999,NUTS,2010,EL,0,12105.0
2001,NUTS,2010,EL,0,9295.0
2003,NUTS,2010,EL,0,10402.0
2005,NUTS,2010,EL,0,12147.0
2011,NUTS,2010,EL,0,16609.0
2013,NUTS,2010,EL,0,21163.0
2015,NUTS,2010,EL,0,23078.0
2017,NUTS,2010,EL,0,23301.0
2019,NUTS,2010,EL,0,25942.0
2003,NUTS,2010,EL3,1,5455.0
2005,NUTS,2010,EL3,1,5967.0
2011,NUTS,2010,EL3,1,6485.0
2003,NUTS,2010,EL30,2,5455.0
2005,NUTS,2010,EL30,2,5967.0
2011,NUTS,2010,EL30,2,6485.0
2003,NUTS,2010,EL4,1,973.0
2005,NUTS,2010,EL4,1,998.0
2011,NUTS,2010,EL4,1,2107.0
2003,NUTS,2010,EL41,2,141.0
2005,NUTS,2010,EL41,2,165.0
2011,NUTS,2010,EL41,2,270.0
2003,NUTS,2010,EL42,2,113.0
2005,NUTS,2010,EL42,2,117.0
2011,NUTS,2010,EL42,2,272.0
2003,NUTS,2010,EL43,2,740.0
2005,NUTS,2010,EL43,2,716.0
2011,NUTS,2010,EL43,2,1565.0
2011,NUTS,2010,EL5,1,5419.0
2003,NUTS,2010,EL51,2,319.0
2005,NUTS,2010,EL51,2,487.0
2011,NUTS,2010,EL51,2,935.0
2003,NUTS,2010,EL52,2,1938.0
2005,NUTS,2010,EL52,2,2657.0
2011,NUTS,2010,EL52,2,3243.0
2003,NUTS,2010,EL53,2,89.0
2005,NUTS,2010,EL53,2,91.0
2011,NUTS,2010,EL53,2,266.0
2003,NUTS,2010,EL54,2,310.0
2005,NUTS,2010,EL54,2,487.0
2011,NUTS,2010,EL54,2,975.0
2011,NUTS,2010,EL6,1,2598.0
2003,NUTS,2010,EL61,2,543.0
2005,NUTS,2010,EL61,2,409.0
2011,NUTS,2010,EL61,2,947.0
2003,NUTS,2010,EL62,2,70.0
2005,NUTS,2010,EL62,2,89.0
2011,NUTS,2010,EL62,2,101.0
2003,NUTS,2010,EL63,2,651.0
2005,NUTS,2010,EL63,2,551.0
2011,NUTS,2010,EL63,2,1098.0
2003,NUTS,2010,EL64,2,72.0
2005,NUTS,2010,EL64,2,110.0
2011,NUTS,2010,EL64,2,133.0
2003,NUTS,2010,EL65,2,84.0
2005,NUTS,2010,EL65,2,301.0
2011,NUTS,2010,EL65,2,319.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
1997,NUTS,2010,ES,0,34041.0
1999,NUTS,2010,ES,0,38099.0
2001,NUTS,2010,ES,0,49664.0
2002,NUTS,2010,ES,0,52850.0
2003,NUTS,2010,ES,0,57515.0
2004,NUTS,2010,ES,0,61377.0
2005,NUTS,2010,ES,0,66418.0
2006,NUTS,2010,ES,0,70830.0
2007,NUTS,2010,ES,0,76289.0
2008,NUTS,2010,ES,0,81599.0
2009,NUTS,2010,ES,0,84352.0
2010,NUTS,2010,ES,0,86053.0
2011,NUTS,2010,ES,0,85237.0
2012,NUTS,2010,ES,0,83643.0
2013,NUTS,2010,ES,0,82121.0
2014,NUTS,2010,ES,0,83184.0
2015,NUTS,2010,ES,0,85759.0
2016,NUTS,2010,ES,0,87804.0
2017,NUTS,2010,ES,0,91499.0
2018,NUTS,2010,ES,0,95717.0
2019,NUTS,2010,ES,0,99772.0
2003,NUTS,2010,ES1,1,5135.0
2004,NUTS,2010,ES1,1,5304.0
2005,NUTS,2010,ES1,1,5563.0
2006,NUTS,2010,ES1,1,6016.0
2007,NUTS,2010,ES1,1,6529.0
2008,NUTS,2010,ES1,1,6947.0
2009,NUTS,2010,ES1,1,6893.0
2010,NUTS,2010,ES1,1,7029.0
2011,NUTS,2010,ES1,1,6834.0
2012,NUTS,2010,ES1,1,6408.0
2013,NUTS,2010,ES1,1,6568.0
2014,NUTS,2010,ES1,1,6213.0
2015,NUTS,2010,ES1,1,6376.0
2016,NUTS,2010,ES1,1,6412.0
2017,NUTS,2010,ES1,1,6891.0
2018,NUTS,2010,ES1,1,7052.0
2019,NUTS,2010,ES1,1,7669.0
2003,NUTS,2010,ES11,2,3531.0
2004,NUTS,2010,ES11,2,3559.0
2005,NUTS,2010,ES11,2,3832.0
2006,NUTS,2010,ES11,2,3891.0
2007,NUTS,2010,ES11,2,4260.0
2008,NUTS,2010,ES11,2,4480.0
2009,NUTS,2010,ES11,2,4283.0
2010,NUTS,2010,ES11,2,4302.0
2011,NUTS,2010,ES11,2,4180.0
2012,NUTS,2010,ES11,2,3922.0
2013,NUTS,2010,ES11,2,3989.0
2014,NUTS,2010,ES11,2,3841.0
2015,NUTS,2010,ES11,2,3866.0
2016,NUTS,2010,ES11,2,3988.0
2017,NUTS,2010,ES11,2,4320.0
2018,NUTS,2010,ES11,2,4605.0
2019,NUTS,2010,ES11,2,4950.0
2003,NUTS,2010,ES12,2,1341.0
2004,NUTS,2010,ES12,2,1301.0
2005,NUTS,2010,ES12,2,1294.0
2006,NUTS,2010,ES12,2,1449.0
2007,NUTS,2010,ES12,2,1623.0
2008,NUTS,2010,ES12,2,1696.0
2009,NUTS,2010,ES12,2,1873.0
2010,NUTS,2010,ES12,2,1899.0
2011,NUTS,2010,ES12,2,1823.0
2012,NUTS,2010,ES12,2,1687.0
2013,NUTS,2010,ES12,2,1816.0
2014,NUTS,2010,ES12,2,1599.0
2015,NUTS,2010,ES12,2,1652.0
2016,NUTS,2010,ES12,2,1568.0
2017,NUTS,2010,ES12,2,1710.0
2018,NUTS,2010,ES12,2,1511.0
2019,NUTS,2010,ES12,2,1722.0
2003,NUTS,2010,ES13,2,263.0
2004,NUTS,2010,ES13,2,444.0
2005,NUTS,2010,ES13,2,437.0
2006,NUTS,2010,ES13,2,676.0
2007,NUTS,2010,ES13,2,646.0
2008,NUTS,2010,ES13,2,771.0
2009,NUTS,2010,ES13,2,736.0
2010,NUTS,2010,ES13,2,827.0
2011,NUTS,2010,ES13,2,831.0
2012,NUTS,2010,ES13,2,799.0
2013,NUTS,2010,ES13,2,762.0
2014,NUTS,2010,ES13,2,774.0
2015,NUTS,2010,ES13,2,859.0
2016,NUTS,2010,ES13,2,856.0
2017,NUTS,2010,ES13,2,861.0
2018,NUTS,2010,ES13,2,935.0
2019,NUTS,2010,ES13,2,996.0
2003,NUTS,2010,ES2,1,7039.0
2004,NUTS,2010,ES2,1,7669.0
2005,NUTS,2010,ES2,1,8183.0
2006,NUTS,2010,ES2,1,8834.0
2007,NUTS,2010,ES2,1,9482.0
2008,NUTS,2010,ES2,1,10383.0
2009,NUTS,2010,ES2,1,10664.0
2010,NUTS,2010,ES2,1,10705.0
2011,NUTS,2010,ES2,1,11190.0
2012,NUTS,2010,ES2,1,11342.0
2013,NUTS,2010,ES2,1,11338.0
2014,NUTS,2010,ES2,1,11648.0
2015,NUTS,2010,ES2,1,11830.0
2016,NUTS,2010,ES2,1,11922.0
2017,NUTS,2010,ES2,1,12551.0
2018,NUTS,2010,ES2,1,13071.0
2019,NUTS,2010,ES2,1,13145.0
2003,NUTS,2010,ES21,2,3454.0
2004,NUTS,2010,ES21,2,3908.0
2005,NUTS,2010,ES21,2,4265.0
2006,NUTS,2010,ES21,2,4440.0
2007,NUTS,2010,ES21,2,5007.0
2008,NUTS,2010,ES21,2,5566.0
2009,NUTS,2010,ES21,2,5765.0
2010,NUTS,2010,ES21,2,5696.0
2011,NUTS,2010,ES21,2,6153.0
2012,NUTS,2010,ES21,2,6281.0
2013,NUTS,2010,ES21,2,6352.0
2014,NUTS,2010,ES21,2,6364.0
2015,NUTS,2010,ES21,2,6635.0
2016,NUTS,2010,ES21,2,6587.0
2017,NUTS,2010,ES21,2,7066.0
2018,NUTS,2010,ES21,2,7318.0
2019,NUTS,2010,ES21,2,7453.0
2003,NUTS,2010,ES22,2,1451.0
2004,NUTS,2010,ES22,2,1505.0
2005,NUTS,2010,ES22,2,1544.0
2006,NUTS,2010,ES22,2,1797.0
2007,NUTS,2010,ES22,2,1606.0
2008,NUTS,2010,ES22,2,1726.0
2009,NUTS,2010,ES22,2,1726.0
2010,NUTS,2010,ES22,2,1779.0
2011,NUTS,2010,ES22,2,1703.0
2012,NUTS,2010,ES22,2,1681.0
2013,NUTS,2010,ES22,2,1596.0
2014,NUTS,2010,ES22,2,1670.0
2015,NUTS,2010,ES22,2,1673.0
2016,NUTS,2010,ES22,2,1685.0
2017,NUTS,2010,ES22,2,1740.0
2018,NUTS,2010,ES22,2,1820.0
2019,NUTS,2010,ES22,2,1691.0
2003,NUTS,2010,ES23,2,220.0
2004,NUTS,2010,ES23,2,260.0
2005,NUTS,2010,ES23,2,230.0
2006,NUTS,2010,ES23,2,298.0
2007,NUTS,2010,ES23,2,419.0
2008,NUTS,2010,ES23,2,487.0
2009,NUTS,2010,ES23,2,526.0
2010,NUTS,2010,ES23,2,557.0
2011,NUTS,2010,ES23,2,527.0
2012,NUTS,2010,ES23,2,534.0
2013,NUTS,2010,ES23,2,527.0
2014,NUTS,2010,ES23,2,582.0
2015,NUTS,2010,ES23,2,558.0
2016,NUTS,2010,ES23,2,700.0
2017,NUTS,2010,ES23,2,671.0
2018,NUTS,2010,ES23,2,741.0
2019,NUTS,2010,ES23,2,753.0
2003,NUTS,2010,ES24,2,1914.0
2004,NUTS,2010,ES24,2,1996.0
2005,NUTS,2010,ES24,2,2144.0
2006,NUTS,2010,ES24,2,2299.0
2007,NUTS,2010,ES24,2,2449.0
2008,NUTS,2010,ES24,2,2604.0
2009,NUTS,2010,ES24,2,2647.0
2010,NUTS,2010,ES24,2,2673.0
2011,NUTS,2010,ES24,2,2806.0
2012,NUTS,2010,ES24,2,2846.0
2013,NUTS,2010,ES24,2,2863.0
2014,NUTS,2010,ES24,2,3032.0
2015,NUTS,2010,ES24,2,2964.0
2016,NUTS,2010,ES24,2,2950.0
2017,NUTS,2010,ES24,2,3073.0
2018,NUTS,2010,ES24,2,3192.0
2019,NUTS,2010,ES24,2,3249.0
2003,NUTS,2010,ES3,1,13477.0
2004,NUTS,2010,ES3,1,14447.0
2005,NUTS,2010,ES3,1,15652.0
2006,NUTS,2010,ES3,1,16145.0
2007,NUTS,2010,ES3,1,17808.0
2008,NUTS,2010,ES3,1,19150.0
2009,NUTS,2010,ES3,1,20340.0
2010,NUTS,2010,ES3,1,20295.0
2011,NUTS,2010,ES3,1,19748.0
2012,NUTS,2010,ES3,1,19388.0
2013,NUTS,2010,ES3,1,19040.0
2014,NUTS,2010,ES3,1,19374.0
2015,NUTS,2010,ES3,1,19788.0
2016,NUTS,2010,ES3,1,20558.0
2017,NUTS,2010,ES3,1,20850.0
2018,NUTS,2010,ES3,1,22376.0
2019,NUTS,2010,ES3,1,23817.0
2003,NUTS,2010,ES30,2,13477.0
2004,NUTS,2010,ES30,2,14447.0
2005,NUTS,2010,ES30,2,15652.0
2006,NUTS,2010,ES30,2,16145.0
2007,NUTS,2010,ES30,2,17808.0
2008,NUTS,2010,ES30,2,19150.0
2009,NUTS,2010,ES30,2,20340.0
2010,NUTS,2010,ES30,2,20295.0
2011,NUTS,2010,ES30,2,19748.0
2012,NUTS,2010,ES30,2,19388.0
2013,NUTS,2010,ES30,2,19040.0
2014,NUTS,2010,ES30,2,19374.0
2015,NUTS,2010,ES30,2,19788.0
2016,NUTS,2010,ES30,2,20558.0
2017,NUTS,2010,ES30,2,20850.0
2018,NUTS,2010,ES30,2,22376.0
2019,NUTS,2010,ES30,2,23817.0
2003,NUTS,2010,ES4,1,5448.0
2004,NUTS,2010,ES4,1,5804.0
2005,NUTS,2010,ES4,1,6220.0
2006,NUTS,2010,ES4,1,6555.0
2007,NUTS,2010,ES4,1,6875.0
2008,NUTS,2010,ES4,1,7803.0
2009,NUTS,2010,ES4,1,7943.0
2010,NUTS,2010,ES4,1,8059.0
2011,NUTS,2010,ES4,1,8112.0
2012,NUTS,2010,ES4,1,7622.0
2013,NUTS,2010,ES4,1,6908.0
2014,NUTS,2010,ES4,1,6985.0
2015,NUTS,2010,ES4,1,7355.0
2016,NUTS,2010,ES4,1,7398.0
2017,NUTS,2010,ES4,1,7720.0
2018,NUTS,2010,ES4,1,8134.0
2019,NUTS,2010,ES4,1,8179.0
2003,NUTS,2010,ES41,2,3693.0
2004,NUTS,2010,ES41,2,3890.0
2005,NUTS,2010,ES41,2,4123.0
2006,NUTS,2010,ES41,2,4490.0
2007,NUTS,2010,ES41,2,4577.0
2008,NUTS,2010,ES41,2,4909.0
2009,NUTS,2010,ES41,2,4974.0
2010,NUTS,2010,ES41,2,4996.0
2011,NUTS,2010,ES41,2,5078.0
2012,NUTS,2010,ES41,2,4825.0
2013,NUTS,2010,ES41,2,4487.0
2014,NUTS,2010,ES41,2,4604.0
2015,NUTS,2010,ES41,2,4803.0
2016,NUTS,2010,ES41,2,4755.0
2017,NUTS,2010,ES41,2,4865.0
2018,NUTS,2010,ES41,2,5189.0
2019,NUTS,2010,ES41,2,5322.0
2003,NUTS,2010,ES42,2,962.0
2004,NUTS,2010,ES42,2,1119.0
2005,NUTS,2010,ES42,2,1237.0
2006,NUTS,2010,ES42,2,1181.0
2007,NUTS,2010,ES42,2,1344.0
2008,NUTS,2010,ES42,2,1886.0
2009,NUTS,2010,ES42,2,1968.0
2010,NUTS,2010,ES42,2,1959.0
2011,NUTS,2010,ES42,2,2008.0
2012,NUTS,2010,ES42,2,1805.0
2013,NUTS,2010,ES42,2,1396.0
2014,NUTS,2010,ES42,2,1425.0
2015,NUTS,2010,ES42,2,1568.0
2016,NUTS,2010,ES42,2,1691.0
2017,NUTS,2010,ES42,2,1826.0
2018,NUTS,2010,ES42,2,1852.0
2019,NUTS,2010,ES42,2,1884.0
2003,NUTS,2010,ES43,2,793.0
2004,NUTS,2010,ES43,2,795.0
2005,NUTS,2010,ES43,2,861.0
2006,NUTS,2010,ES43,2,883.0
2007,NUTS,2010,ES43,2,954.0
2008,NUTS,2010,ES43,2,1008.0
2009,NUTS,2010,ES43,2,1001.0
2010,NUTS,2010,ES43,2,1105.0
2011,NUTS,2010,ES43,2,1025.0
2012,NUTS,2010,ES43,2,992.0
2013,NUTS,2010,ES43,2,1025.0
2014,NUTS,2010,ES43,2,956.0
2015,NUTS,2010,ES43,2,984.0
2016,NUTS,2010,ES43,2,952.0
2017,NUTS,2010,ES43,2,1030.0
2018,NUTS,2010,ES43,2,1093.0
2019,NUTS,2010,ES43,2,972.0
2003,NUTS,2010,ES5,1,16154.0
2004,NUTS,2010,ES5,1,17147.0
2005,NUTS,2010,ES5,1,18673.0
2006,NUTS,2010,ES5,1,20619.0
2007,NUTS,2010,ES5,1,22050.0
2008,NUTS,2010,ES5,1,23359.0
2009,NUTS,2010,ES5,1,24131.0
2010,NUTS,2010,ES5,1,25159.0
2011,NUTS,2010,ES5,1,24584.0
2012,NUTS,2010,ES5,1,24351.0
2013,NUTS,2010,ES5,1,24153.0
2014,NUTS,2010,ES5,1,24994.0
2015,NUTS,2010,ES5,1,25386.0
2016,NUTS,2010,ES5,1,26238.0
2017,NUTS,2010,ES5,1,27604.0
2018,NUTS,2010,ES5,1,28734.0
2019,NUTS,2010,ES5,1,30188.0
2003,NUTS,2010,ES51,2,10468.0
2004,NUTS,2010,ES51,2,10927.0
2005,NUTS,2010,ES51,2,12004.0
2006,NUTS,2010,ES51,2,13678.0
2007,NUTS,2010,ES51,2,14189.0
2008,NUTS,2010,ES51,2,14825.0
2009,NUTS,2010,ES51,2,15183.0
2010,NUTS,2010,ES51,2,16099.0
2011,NUTS,2010,ES51,2,15563.0
2012,NUTS,2010,ES51,2,15579.0
2013,NUTS,2010,ES51,2,15716.0
2014,NUTS,2010,ES51,2,15818.0
2015,NUTS,2010,ES51,2,16249.0
2016,NUTS,2010,ES51,2,16715.0
2017,NUTS,2010,ES51,2,17557.0
2018,NUTS,2010,ES51,2,18368.0
2019,NUTS,2010,ES51,2,19118.0
2003,NUTS,2010,ES52,2,5235.0
2004,NUTS,2010,ES52,2,5657.0
2005,NUTS,2010,ES52,2,5991.0
2006,NUTS,2010,ES52,2,6188.0
2007,NUTS,2010,ES52,2,6962.0
2008,NUTS,2010,ES52,2,7576.0
2009,NUTS,2010,ES52,2,7820.0
2010,NUTS,2010,ES52,2,7746.0
2011,NUTS,2010,ES52,2,7724.0
2012,NUTS,2010,ES52,2,7553.0
2013,NUTS,2010,ES52,2,7251.0
2014,NUTS,2010,ES52,2,7935.0
2015,NUTS,2010,ES52,2,7783.0
2016,NUTS,2010,ES52,2,8191.0
2017,NUTS,2010,ES52,2,8584.0
2018,NUTS,2010,ES52,2,8982.0
2019,NUTS,2010,ES52,2,9583.0
2003,NUTS,2010,ES53,2,451.0
2004,NUTS,2010,ES53,2,563.0
2005,NUTS,2010,ES53,2,678.0
2006,NUTS,2010,ES53,2,753.0
2007,NUTS,2010,ES53,2,899.0
2008,NUTS,2010,ES53,2,959.0
2009,NUTS,2010,ES53,2,1129.0
2010,NUTS,2010,ES53,2,1314.0
2011,NUTS,2010,ES53,2,1297.0
2012,NUTS,2010,ES53,2,1219.0
2013,NUTS,2010,ES53,2,1186.0
2014,NUTS,2010,ES53,2,1241.0
2015,NUTS,2010,ES53,2,1354.0
2016,NUTS,2010,ES53,2,1332.0
2017,NUTS,2010,ES53,2,1463.0
2018,NUTS,2010,ES53,2,1385.0
2019,NUTS,2010,ES53,2,1487.0
2003,NUTS,2010,ES6,1,8649.0
2004,NUTS,2010,ES6,1,9157.0
2005,NUTS,2010,ES6,1,10288.0
2006,NUTS,2010,ES6,1,10928.0
2007,NUTS,2010,ES6,1,11761.0
2008,NUTS,2010,ES6,1,12190.0
2009,NUTS,2010,ES6,1,12653.0
2010,NUTS,2010,ES6,1,12999.0
2011,NUTS,2010,ES6,1,12871.0
2012,NUTS,2010,ES6,1,12645.0
2013,NUTS,2010,ES6,1,12339.0
2014,NUTS,2010,ES6,1,12227.0
2015,NUTS,2010,ES6,1,13286.0
2016,NUTS,2010,ES6,1,13438.0
2017,NUTS,2010,ES6,1,13980.0
2018,NUTS,2010,ES6,1,14306.0
2019,NUTS,2010,ES6,1,14706.0
2003,NUTS,2010,ES61,2,7415.0
2004,NUTS,2010,ES61,2,7805.0
2005,NUTS,2010,ES61,2,8777.0
2006,NUTS,2010,ES61,2,9290.0
2007,NUTS,2010,ES61,2,10009.0
2008,NUTS,2010,ES61,2,10288.0
2009,NUTS,2010,ES61,2,10669.0
2010,NUTS,2010,ES61,2,10918.0
2011,NUTS,2010,ES61,2,10762.0
2012,NUTS,2010,ES61,2,10544.0
2013,NUTS,2010,ES61,2,10265.0
2014,NUTS,2010,ES61,2,10143.0
2015,NUTS,2010,ES61,2,11118.0
2016,NUTS,2010,ES61,2,11050.0
2017,NUTS,2010,ES61,2,11400.0
2018,NUTS,2010,ES61,2,11564.0
2019,NUTS,2010,ES61,2,11776.0
2003,NUTS,2010,ES62,2,1180.0
2004,NUTS,2010,ES62,2,1299.0
2005,NUTS,2010,ES62,2,1457.0
2006,NUTS,2010,ES62,2,1572.0
2007,NUTS,2010,ES62,2,1682.0
2008,NUTS,2010,ES62,2,1818.0
2009,NUTS,2010,ES62,2,1947.0
2010,NUTS,2010,ES62,2,2047.0
2011,NUTS,2010,ES62,2,2071.0
2012,NUTS,2010,ES62,2,2065.0
2013,NUTS,2010,ES62,2,2036.0
2014,NUTS,2010,ES62,2,2041.0
2015,NUTS,2010,ES62,2,2131.0
2016,NUTS,2010,ES62,2,2328.0
2017,NUTS,2010,ES62,2,2512.0
2018,NUTS,2010,ES62,2,2625.0
2019,NUTS,2010,ES62,2,2816.0
2003,NUTS,2010,ES63,2,54.0
2004,NUTS,2010,ES63,2,27.0
2005,NUTS,2010,ES63,2,28.0
2006,NUTS,2010,ES63,2,22.0
2007,NUTS,2010,ES63,2,24.0
2008,NUTS,2010,ES63,2,27.0
2009,NUTS,2010,ES63,2,12.0
2010,NUTS,2010,ES63,2,12.0
2011,NUTS,2010,ES63,2,12.0
2012,NUTS,2010,ES63,2,11.0
2013,NUTS,2010,ES63,2,12.0
2014,NUTS,2010,ES63,2,19.0
2015,NUTS,2010,ES63,2,14.0
2003,NUTS,2010,ES64,2,0.0
2004,NUTS,2010,ES64,2,26.0
2005,NUTS,2010,ES64,2,26.0
2006,NUTS,2010,ES64,2,44.0
2007,NUTS,2010,ES64,2,47.0
2008,NUTS,2010,ES64,2,57.0
2009,NUTS,2010,ES64,2,25.0
2010,NUTS,2010,ES64,2,22.0
2011,NUTS,2010,ES64,2,25.0
2012,NUTS,2010,ES64,2,25.0
2013,NUTS,2010,ES64,2,26.0
2014,NUTS,2010,ES64,2,24.0
2015,NUTS,2010,ES64,2,22.0
2003,NUTS,2010,ES7,1,1614.0
2004,NUTS,2010,ES7,1,1848.0
2005,NUTS,2010,ES7,1,1838.0
2006,NUTS,2010,ES7,1,1732.0
2007,NUTS,2010,ES7,1,1784.0
2008,NUTS,2010,ES7,1,1765.0
2009,NUTS,2010,ES7,1,1727.0
2010,NUTS,2010,ES7,1,1807.0
2011,NUTS,2010,ES7,1,1898.0
2012,NUTS,2010,ES7,1,1888.0
2013,NUTS,2010,ES7,1,1775.0
2014,NUTS,2010,ES7,1,1732.0
2015,NUTS,2010,ES7,1,1738.0
2016,NUTS,2010,ES7,1,1838.0
2017,NUTS,2010,ES7,1,1902.0
2018,NUTS,2010,ES7,1,2044.0
2019,NUTS,2010,ES7,1,2069.0
2003,NUTS,2010,ES70,2,1614.0
2004,NUTS,2010,ES70,2,1848.0
2005,NUTS,2010,ES70,2,1838.0
2006,NUTS,2010,ES70,2,1732.0
2007,NUTS,2010,ES70,2,1784.0
2008,NUTS,2010,ES70,2,1765.0
2009,NUTS,2010,ES70,2,1727.0
2010,NUTS,2010,ES70,2,1807.0
2011,NUTS,2010,ES70,2,1898.0
2012,NUTS,2010,ES70,2,1888.0
